"""Steff""",  Stefanie Oxmann Mcgaha, Night of the Demons, 2009, Goth raver, )  (uncredited
, 	," ""Gladiaattorit""", 1993, Herself - Host, ) {(#3.7
, 	," ""Gladiaattorit""", 1993, Herself - Host, ) {(#3.9
, 	," ""Kotikatu""", 1995, Kati, ) {Entisi� suhteita (#1.5
, 	," ""Kotikatu""", 1995, Kati, ) {Henkil�st�suunnitelma (#1.21
, 	," ""Kotikatu""", 1995, Kati, ) {Is�st� on apua (#1.6
, 	," ""Kotikatu""", 1995, Kati, ) {Katastrofin aineksia (#1.10
, 	," ""Kotikatu""", 1995, Kati, ) {Kotiinpaluu (#1.23
, 	," ""Kotikatu""", 1995, Kati, ) {Me muutetaan t�h�n sit t�n��n! (#1.4
, 	," ""Kotikatu""", 1995, Kati, ) {Pilottijakso (#1.0
, 	," ""Kotikatu""", 1995, Kati, ) {Salaisuuksia (#1.8
, 	," ""Kotikatu""", 1995, Kati, ) {Tietoja annetaan vain omaisille (#1.1
, 	," ""Kotikatu""", 1995, Kati, ) {Uusia tuulia (#1.13
, 	," ""Kotikatu""", 1995, Kati, ) {V��renn�ksi� ja v��rink�sityksi� (#1.26
, 	," ""Lexx""", 1997, Vlad, ) {Fluff Daddy (#4.9)}  (uncredited
, 	," ""Lexx""", 1997, Vlad/White Bishop #1/White Bishop #2, ) {The Game (#4.18
, 	," ""Lexx""", 1997, Vlad, ) {Vlad (#4.8
, 	," ""Lexx""", 1997, Vlad, ) {Xevivor (#4.5)}  (uncredited
, 	," ""London's Burning""", 1988, Marianne, ) {(#10.12
, 	," ""London's Burning""", 1988, Marianne, ) {(#10.16
, 	," ""London's Burning""", 1988, Marianne, ) {(#10.3
, 	," ""London's Burning""", 1988, Marianne, ) {(#10.5
, 	," ""London's Burning""", 1988, Marianne, ) {(#10.7
, 	," ""London's Burning""", 1988, Marianne, ) {(#10.9
, 	," ""London's Burning""", 1988, Marianne, ) {(#11.7
, 	," ""London's Burning""", 1988, Marianne, ) {(#11.9
, 	," ""London's Burning""", 1988, Marianne, ) {(#9.13
, 	," ""London's Burning""", 1988, Marianne, ) {(#9.15
Aaltonen,  Minna-Kaisa, Viimeinen keikka, 1984, , 
Aaltonen,  Mirka, Somniare, 2013, Nita, ) (V
Aaltonen,  Niina," ""Speden spelit""", 1992, Herself, ) {(#1.602
, 	," ""Speden spelit""", 1992, Herself, ) {(#1.604




, 	, Ukkovarvas, 1977, Ninni, ) (TV

, 	," ""Kymppitonni""", 1985, Herself, ) {(#13.17
, 	," ""Kymppitonni""", 1985, Herself, ) {(#3.13)}  (as Ulla-Maija Aaltonen
, 	," ""Kymppitonni""", 1985, Herself, ) {(#3.15)}  (as Ulla-Maija Aaltonen
, 	," ""Kymppitonni""", 1985, Herself, ) {(#3.17)}  (as Ulla-Maija Aaltonen
, 	," ""Kymppitonni""", 1985, Herself, ) {(1999-07-05
, 	," ""Kymppitonni""", 1985, Herself, ) {(2004-10-16
, 	," ""Kymppitonni""", 1985, Herself, ) {(2004-10-30
, 	," ""Kymppitonni""", 1985, Herself, ) {(2004-11-13
, 	," ""Kymppitonni""", 1985, Herself, ) {(2004-11-27
, 	," ""Kymppitonni""", 1985, Herself, ) {(2005-02-05
, 	," ""Suomen hovi""", 1989, Herself, ) {(#1.6)}  (as Ulla-Maija Aaltonen

, 	, Tilinteko, 1987, Varjola's Daughter, 
Aaltonen,  Veera (III), Tahroja, 2008, Heidi, 
Aalund,  Pernille," ""4-stjerners middag""", 2010, Herself, ) {Karen H�kkerup (#2.10
, 	," ""4-stjerners middag""", 2010, Herself - Host, ) {Pernille Aalund (#2.9
, 	," ""Aftenshowet""", 2007, Herself, ) {(2009-06-02
, 	," ""Aftenshowet""", 2007, Herself, ) {(2011-05-26
, 	," ""Aftenshowet""", 2007, Herself, ) {(2012-08-27
, 	," ""Aftenshowet""", 2007, Herself, ) {(2012-11-19
, 	," ""Aftenshowet""", 2007, Herself, ) {(2012-11-21
, 	," ""Aftenshowet""", 2007, Herself, ) {(2013-01-07
, 	," ""Aftenshowet""", 2007, Herself, ) {(2013-05-28
, 	," ""Aftenshowet""", 2007, Herself, ) {(2014-07-16
, 	," ""Aftenshowet""", 2007, Herself, ) {(2014-12-01
, 	," ""Aftenshowet""", 2007, Herself, ) {(2015-06-04
, 	," ""Aftenshowet""", 2007, Herself, ) {(2015-07-06
, 	," ""Aftenshowet""", 2007, Herself, ) {(2017-06-19
, 	," ""Det modsatte k�n""", 2004, Herself, ) {(#1.13
, 	," ""Go' aften Danmark""", 2002, Herself, ) {(2004-12-20
, 	," ""Helge & Bernhard""", 2003, Herself, ) {(#1.3
, 	," ""Meyerheim""", 2006, Herself, ) {(#3.5
, 	," ""M�nd ingen adgang"" (1995)  [Herself - Host", 1995, , 
, 	," ""Pernilles univers""", 1998, Herself - Host, 
, 	," ""QTV""", 2006, Herself - Host, 
, 	," ""Ushi Heiku""", 2002, Herself, ) {(#2.10




, 	, Allari Police, 1994, Geetha, 
, 	, Baap ji, 1996, , 
, 	, Chandamama Kathalu, 2014, Saritha, 
, 	, Hello Guru, 1996, , 
, 	, Kannaya-Kittaya, 1993, , 
, 	, Madhayanam Hathya, 2004, Lakshmi, 
, 	, MCA Middle Class Abbayi, 2017, , 
, 	, Pachani Samsaram, 1992, , 
, 	, Priyamainasrivaaru, 1997, , 
, 	, Shabash Ramu, 1993, , 
, 	, Shubhalagnam, 1994, Radha, 
, 	, Subha Sankalpam, 1995, Ganga, 
, 	, Swamy, 2004, , 
, 	, Vammo Vathoo O Pellamoo, 1997, , 


, 	, Bachelor Party, 1984, Mrs. Klupner, 
, 	, Boxoffice, 1982, Starlet Suzi, 
, 	, Chopping Mall, 1986, Miss Vanders, 
, 	, Famous T & A, 1982, Little Bo Peep, ) (V)  (archive footage
, 	, Focus on Fishko, 1983, Lunga/Betsy/80-Foot Stripper, 
, 	, Likely Stories, Vol. 4, 1983, Mimi Vanderveen, ) (TV
, 	, Setting the Bar: A Conversation with Ted Danson, 2003, Brandee, ) (V)  (archive footage) (uncredited
, 	, The Comeback Kid, 1980, Sherry, ) (TV
, 	, The Lost Empire, 1984, Heather McClure, 
, 	, This Year's Blonde, 1980, Blonde at Pool, ) (TV
, 	," ""Angie""", 1979, Babs, ) {The Gambler (#2.12
, 	," ""B.J. and the Bear""", 1978, Honey, ) {B.J. and the Seven Lady Truckers: Part 2 (#3.2
, 	," ""B.J. and the Bear""", 1978, Charisse, ) {Never Give a Trucker an Even Break (#1.5
, 	," ""B.J. and the Bear""", 1978, Honey, ) {Snow White and the Seven Lady Truckers: Part 2 (#2.2
, 	," ""Cheers""", 1982, Brandee, ) {Sam's Women (#1.2
, 	," ""Hill Street Blues""", 1981, Grieving Widow, ) {I Never Promised You a Rose, Marvin (#1.12)}  (uncredited
, 	," ""Night Court""", 1984, Angela, ) {Dad's First Date (#3.3
, 	," ""Night Court""", 1984, Angela, ) {Married Alive (#2.19
, 	," ""The Dom DeLuise Show"" (1987)  [Penny", 1987, , 
, 	," ""The Fall Guy""", 1981, Louisa Duncan, ) {Miami's Nice (#5.10
, 	," ""The Love Boat""", 1977, Laurie Jeffers, ) {Fountain of Youth/Bad Luck Cabin/Uncle Daddy (#6.29
Aames,  Fern Marie, Guys and Dolls, 1989, , 
Aames,  Marlene, Along the Navajo Trail, 1945, Gypsy Girl, /I)  (uncredited
, 	, The Big Clock, 1948, Rosa O'Flynn, )  (uncredited
, 	, The Time of Your Life, 1948, Nick's Daughter, 
Aames,  Vicki," ""The Mike Douglas Show""", 1961, Herself - Mrs. Willie Aames, ) {(#19.120
, Aami, Girls Gone Black 2, 2003, , 
, Aamina, Naalu Mazhapaatakal, 2009, Priya, 
, Aaminah," ""Half My Faith"," All My Struggle""", 2015, Herself, ) {Rabeena and Yasser: Part 1 (#1.7

, 	, Na Maloom Afraad 2, 2017, Pari, 







, 	, The Crest of Von Endheim, 1915, , 
, 	, The Little Gray Lady, 1914, Mrs. Graham, 


, 	, Med k�rlig hilsen, 1999, Herself, ) (TV
, 	," ""Autograf""", 2008, Herself, ) {(#1.6
, 	," ""Go' aften Danmark""", 2002, Herself - Author, ) {(2005-10-17
, 	," ""Julekrybben: Helligaandskirken""", 2004, Herself - Author, ) {(#1.4
Aamund,  Malou," ""TV2/Lorry - Lokalnyhederne""", 1989, Herself - Politician, ) {(2007-12-08
Aan,  Nan, Looking for America: A Saipan Story, 2007, Bollywood Dancer, ) (TV
Aanand,  Yaashika, Dhuruvangal Pathinaaru, 2016, Shruti, 
, Aanandee, Hawayein, 2003, , 
Aanannaz,  Sarah," ""De halve maan""", 2011, Herself - Student, ) {(#2.13
Aanby,  Hege Marie, Izzat, 2005, Svenskens dame 1, 
, Aanchal (I), Namastey London, 2007, Sister, 
, Aanchal (II), Kacha Ghotay, 1999, , 
Aandah,  Serene," ""Chaos in Gotham: The Uninvited Guest""", 2008, Fifi, 
Aandahl,  Serene, A Fallen Glass, 2010, Tabitha, 
, 	, Delivering the Goods, 2012, Actress on the Street, 
, 	, Going Local, 2012, Real Estate Agent, ) (V
, 	, Ribbons, 2010, Ms. Blythe, /I
, 	," ""P.O.V.""", 1988, Herself, ) {Guilty Pleasures (#25.4
Aandahl,  Sofie, Pusher II, 2004, Pige i Ferrari, 
Aanderud,  Catharina," ""Nachtcaf�""", 1987, Herself, 
Aanenson,  Jacqueline G., A Fighter Pilot's Story, 1993, Herself, ) (TV)  (voice
Aanes,  Selma Moren, Flyskrekk, 2015, , 
Aanes,  Tina, Oppgj�ret, 2010, , 
Aanid,  Gianna (I), Soullam ila Dimashk, 2013, Zeina, 
Aanie,  Aanisha, Love You Hamesha, 2015, Prya, 
Aanning,  Astrid, Parachute to Paradise, 1972, , 
Aanonli,  Camilla," ""Hotel C�sar""", 1998, Jenny Augusta Anker-Hansen, ) {(#30.26)}  (credit only
, 	," ""Hotel C�sar""", 1998, Jenny Augusta Anker-Hansen, ) {(#30.28)}  (credit only
, 	," ""Hotel C�sar""", 1998, Jenny Augusta Anker-Hansen, ) {(#30.30)}  (credit only




, 	, Tissit, 2014, Kaarina, 
, 	, �iti, 2018, , 
, 	," ""Parasta aikaa""", 2009, Opettaja, ) {Maailman paras �iti (#1.1
, 	," ""Parasta aikaa""", 2009, Opettaja, ) {Sisaruskateutta (#1.9
, 	," ""Parasta aikaa""", 2009, Opettaja, ) {Virheist� oppii (#1.10
, 	," ""Sekasin""", 2016, Maila, ) {Hattumies, ketjusilmukka ja levottomat jalat (#1.2
Aapte,  Nayana, Prem Karuya Khullam Khulla, 1987, , 
, Aapthi, What Is the Noise at This Time? (Enna Satham Indha Neram), 2014, Quadruplets, 
, Aara, Guru Uchaththula Irukkaru, 2017, , 
Aaram,  Angel, Al Roub, 1969, , 
, 	, Al-Amil 77, 1969, , 
, 	, Al-Regala Fi Khatar, 1993, Rasha Hanem, 
, 	, Gedaan Bab El-Shareya, 1983, , 
, 	, Shaaban Taht El-Sifr, 1980, , 
, 	, Those Guys, 1989, , 

, 	, Die Chinesinnen, 1961, T�nzerin, ) (TV
Aardal,  Holly, Omega Cop, 1990, Hat Gang, 
Aardalsbakke,  Ingvild, Citizen X, 2007, Collegue LB, 


, 	," ""Rosamunde Pilcher""", 1993, Isabel, ) {Wohin du auch gehst (#1.81
Aarden,  Lucy, Death Race 4: Beyond Anarchy, 2018, Carley, 
, 	, Subway Breakfast Ad: My Sub, My Way - Feat. Bruce Not With It (UK 50), 2013, Subway Worker, )  (as Lucy Southall
, 	, Wanderlust, 2016, Jen, /II
, 	," ""Our Girl""", 2014, Debbie, ) {(#2.4
, 	," ""Tracey Ullman's Show""", 2016, Georgia May Jagger, ) {(#2.2
, 	," ""Tracey Ullman's Show""", 2016, Georgia May Jagger, ) {(#2.5
Aardewerk,  Betty, Zjoek: De kunst van het vergeten, 1987, Moeder S., 
Aardse,  Machteld, Tales of a Highway, 2007, Herself, 
Aardsma,  Amanda, 15th Annual Miss Teen USA Pageant, 1997, Herself - Miss Colorado Teen USA (Top 10), ) (TV
, 	, Dough Boys, 2009, Palova, 
, 	, Just Like Family, 2009, Shelia McMichaels, 
, 	, Orlando's Bed and Breakfast, 2007, Maria Charles, ) (TV
, 	, The Kings of Brooklyn, 2004, Wallstreet Babe, )  (uncredited
, 	, Whatever Happened to Barker Daniels?, 2009, Susie Crane, 
, 	," ""Days of Our Lives""", 1965, Lizbeth, ) {(#1.12156
, 	," ""Days of Our Lives""", 1965, Lizbeth, ) {(#1.12159
, 	," ""Poop Notice""", 2013, Amber, ) {Sit Up (#1.6

, 	, The Perfect Mistress III, 2017, Head Nurse, 
Aarem�e,  Anu, Magnus, 2007, Girl from the Hospital, 








, 	, Flesh, 2017, Demeter, 
, 	, Houseparty of the Dead 6, 2010, Susan, )  (as Christie Leigh Emby
, 	, I Am the Doorway, 2015, Willa, )  (as Christie Leigh Emby
, 	, L2K: Licence to Kill, 2010, Lauren, )  (as Christie Leigh Emby
, 	, Man vs Sand, 2012, Bunga Girl, )  (as Christie Leigh Emby
, 	, Red Heart, 2011, Anne, )  (as Christie Leigh Emby
, 	, The Bank Jobs, 2015, Karen, )  (as Christie Leigh Emby
, 	, The Fair Sex, 2011, Rose, )  (as Christie Leigh Emby
, 	, The Many Things About Her, 2016, , 
, 	," ""The Red Zone""", 2011, Rosie, )  (episode) (as Christie Leigh Emby
, 	," ""The Red Zone""", 2011, Rosie, ) {The Finale (#1.8)}  (as Christie Leigh Emby
, Aaries, Say My Name, 2009, , 
Aarif,  A�cha, Raja, 2003, Jardini�re 1, 
Aarif,  Jmiaa, Raja, 2003, Jardini�re 3, 
, Aarifaa, Dhanmalhi, 1993, Fareedha's mother, ) (TV
Aarikka,  Kaija, Spektroliittia, bromidioksidia, ruusukvartsia..., 1958, Herself, ) (TV
, 	," ""Kymppitonni""", 1985, Herself, ) {(#3.14
, 	," ""Nettikymppitonni""", 2000, Herself, ) {(2001-08-03
, 	," ""Nettikymppitonni""", 2000, Herself, ) {(2001-08-17
Aarikka,  Olla-Riitta, Hulluna Saraan, 2012, Desperado Line Dancers, 
, Aarlin, My Brother, 2006, Sister Valerie, 
Aarmes,  Amy, Stuck, 2003, Babysitter, /II
, Aarminta, Paradeshi Chadhei, 1990, , 
Aarn,  Kimberleigh, Presumed Innocent, 1990, Prosecuting Attorney, 
, 	, The 42nd Annual Tony Awards, 1988, Herself - Nominee, ) (TV
, 	, The Serpent and the Rainbow, 1988, Margrite, )  (as Kimberleigh Burroughs
, 	," ""Family Law""", 1999, Police Photographer, ) {Film at Eleven (#2.12
Aarna,  Signy," ""Women's International Football""", 2010, Herself - Estonia, 
Aarnegg,  Carla, Drei V�ter um Anna, 1939, , 
Aarnes,  Camilla Blom," ""Gift Ved F�rste Blikk""", 2014, , 
Aarnes,  Maryam, Varg Veum - Svarte f�r, 2011, Prostituert, 
Aarness,  Janet Haak, Thurston, 2008, Thruston's mom, 
Aarni,  Mari, Sankarit, 2002, , 



, 	," ""A-studio: Stream""", 2012, Herself - Host, 
, 	," ""A-studio: Stream""", 2012, Herself - Host, 
, 	," ""Extra Large""", 2007, Herself - Host, 
, 	," ""Popkult""", 2008, Herself - Host, 
, 	," ""Popkult""", 2008, Herself - Host, 
, 	," ""Popkult""", 2008, Herself - Host, 
, 	," ""Popkult""", 2008, Herself - Host, 
, 	," ""Popkult""", 2008, Herself - Host, 
, 	," ""Popkult""", 2008, Herself - Host, 
, 	," ""Popkult""", 2008, Herself - Host, 
, 	," ""Popkult""", 2008, Herself - Host, 
, 	," ""Popkult""", 2008, Herself - Host, 
, 	," ""Popkult""", 2008, Herself - Host, 
, 	," ""Popkult""", 2008, Herself - Host, 
, 	," ""Popkult""", 2008, Herself - Host, 
, 	," ""Popkult""", 2008, Herself - Host, 
, 	," ""Popkult""", 2008, Herself - Host, 



, 	," ""BumtsiBum!""", 1997, Herself, ) {(#7.30
Aarnio,  Pirkko," ""Joulukalenteri""", 1980, Anelma Unelma, )  (voice



, 	," ""Kymppitonni""", 1985, Herself, ) {(#5.39
, 	," ""Kymppitonni""", 1985, Herself, ) {(#5.41
, 	," ""Kymppitonni""", 1985, Herself, ) {(#5.43
, 	," ""Kymppitonni""", 1985, Herself, ) {(2003-10-04

, 	," ""Homo-Suomen historia""", 2006, Herself, ) {Min�k� sellainen? (#1.1







, 	, Angel of Mars, 2011, Angel, 





, 	," ""48 Hours""", 1988, Herself - Correspondent, ) {Nightmare Next Door (#2.11
, 	," ""The Seventies""", 2015, Herself - ABC News, ) {Terror at Home and Abroad (#1.7)}  (archive footage
Aaron,  Billye," ""Andrew Young Presents""", 2008, Herself, ) {Still Hitting Homers (#7.2)}  (also archive footage
, 	," ""Mike and Mike in the Morning""", 2005, Herself - Wife of Hank Aaron, ) {(2014-04-09)}  (archive footage
Aaron,  Birdie, Happiness, 2013, Office Worker, /I
Aaron,  Caroline, 2000 Blockbuster Entertainment Awards, 2000, Herself, ) (TV
, 	, 22 Jump Street, 2014, Annie Schmidt, 
, 	, A Fine Day for Flying, 1999, Madelyn, 
, 	, Alice, 1990, Sue, 
, 	, Amy's Orgasm, 2001, Janet Gaines, 
, 	, Anna, 1987, Interviewer, 
, 	, Baby It's You, 1983, Waitress, 
, 	, Big Night, 1996, Woman in Restaurant, 
, 	, Bobby's World: The Making of 'Beyond the Sea', 2005, Herself, ) (V
, 	, Bound & Babysitting, 2015, Violet, ) (TV
, 	, Call Waiting, 2004, Judy Baxter/Carol Lane, 
, 	, Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean, 1982, Teenager, 
, 	, Dad, the Angel & Me, 1995, Abby, ) (TV
, 	, Deconstructing Harry, 1997, Doris, 
, 	, Dying to Live, 1999, Detective Chambers, ) (TV
, 	, Fallout 4, 2015, Additional Voices, ) (VG)  (voice
, 	, Finding Bliss, 2009, Debra Balaban, 
, 	, Heartburn, 1986, Judith, 
, 	, House Arrest, 1996, Louise Finley, 
, 	, I Am Be, 2016, Iambe, 
, 	, Just Like Heaven, 2005, Grace, 
, 	, Love Hurts, 2009, Wanda, /I
, 	, Meeting Spencer, 2011, Nancy Diamond, 
, 	, My First Time Driving, 2007, Helen, 
, 	, Never Again, 2001, Elaine, 
, 	, O.C. and Stiggs, 1985, Janine, 
, 	, Planes: Fire & Rescue, 2014, Additional Voices, )  (voice
, 	, Pumpkin, 2002, Claudia Prinsinger, 
, 	, Running Mates, 2000, Jody Daniels, ) (TV
, 	, Sleepless in Seattle, 1993, Dr. Marcia Fieldstone, )  (voice
, 	, Surveillance, 2008, Janet, /I
, 	, The Brother from Another Planet, 1984, Randy Sue Carter, 
, 	, The Pickle, 1993, Nancy Osborne, 
, 	, The Secret Life of Zoey, 2002, Mimi, ) (TV
, 	, This Is My Life, 1992, Martha Ingels, 
, 	, Tuna, 2013, Virginia, 
, 	, Weapons of Mass Distraction, 1997, Robin Zimmer, ) (TV
, 	, When Billie Beat Bobby, 2001, , 
, 	, Without a Trace, 1983, Makeup woman, 
, 	," ""2 Broke Girls""", 2011, Wiga, ) {And the Psychic Shakedown (#2.15
, 	," ""7th Heaven""", 1996, Sally Palmer, ) {Parents (#5.16
, 	," ""Ally McBeal""", 1997, Laura Dipson, ) {Love Unlimited (#2.12
, 	," ""Bad Teacher""", 2014, Doris, ) {A Little Respect (#1.11
, 	," ""Brothers & Sisters""", 2006, Elise, ) {Sexual Politics (#1.12
, 	," ""Childrens Hospital""", 2008, Glenn's Mom, ) {Frankfurters. Allman Brothers. Death. Frankfurters. (#2.7
, 	," ""CSI: Crime Scene Investigation""", 2000, Mrs. Steiner, ) {19 Down (#9.9
, 	," ""Curb Your Enthusiasm""", 2000, Barbara, ) {Chet's Shirt (#3.1
, 	," ""Curb Your Enthusiasm""", 2000, Barbara, ) {The Grand Opening (#3.10
, 	," ""Desperate Housewives""", 2004, Daphne Bicks, ) {Boom Crunch (#6.10
, 	," ""Dragnet""", 2003, District Attorney, ) {All That Glitters (#1.3
, 	," ""Empty Nest""", 1988, Shannon, ) {Feelings, Whoa Whoa Whoa, Feelings... (#7.16
, 	," ""Episodes""", 2011, Linda, ) {Episode Eight (#3.8
, 	," ""Episodes""", 2011, Linda, ) {Episode Six (#4.6
, 	," ""Franklin & Bash""", 2011, Judge Rebecca Bayles, ) {Coffee and Cream (#3.1
, 	," ""Frasier""", 1993, Phyllis Conrad, ) {First Date (#5.20
, 	," ""Girlfriends""", 2000, Michele Garrett, ) {All God's Children (#6.11
, 	," ""Grey's Anatomy""", 2005, Connie Williams, ) {Let the Truth Sting (#4.3
, 	," ""Head Cases""", 2005, Ida Shultz, ) {Pilot (#1.1
, 	," ""Hey Arnold!""", 1996, Spelling Bee Moderator, ) {Spelling Bee/Pigeon Man (#1.15)}  (voice
, 	," ""If Not for You""", 1995, Nina, ) {The Kiss (#1.3
, 	," ""Instant Mom""", 2013, Beverly Keogh, ) {Dine Hard (#1.12
, 	," ""Judging Amy""", 1999, Eloise Darline, Amy's Lawyer, ) {The Wee Hours (#1.16
, 	," ""LateLine""", 1998, Amy Freundlich, ) {Al Anonymous (#1.2)}  (voice
, 	," ""LateLine""", 1998, Amy Freundlich, ) {Pearce's New Buddy (#1.5)}  (voice
, 	," ""Law & Order""", 1990, Susan, ) {God Bless the Child (#2.5
, 	," ""Less Than Perfect""", 2002, Roz, ) {Future Shock (#1.7
, 	," ""Lucky""", 2003, Theresa's Sponsor, ) {Monkey on Your Back (#1.12
, 	," ""Madam Secretary""", 2014, Edie Moran, ) {The Fourth Estate (#4.8
, 	," ""Miss Match""", 2003, Judy Schiff, ) {The Love Bandit (#1.8
, 	," ""Monk""", 2002, Sheila Dorfman, ) {Mr. Monk and the Magician (#7.15
, 	," ""Oliver Beene""", 2003, Charlotte's Mum, ) {Disposa-Boy (#2.6
